Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,2016,Child care,Secondary Activities,Female,,24
0,1996,Child care,Secondary Activities,Female,TRUE,9
0,2001,Child care,Secondary Activities,Female,TRUE,12
0,2006,Child care,Secondary Activities,Female,TRUE,15
0,2011,Child care,Secondary Activities,Female,TRUE,17
0,2016,Child care,Secondary Activities,Female,TRUE,21
0,1996,Child care,Secondary Activities,Female,FALSE,33
0,2001,Child care,Secondary Activities,Female,FALSE,35
0,2006,Child care,Secondary Activities,Female,FALSE,33
0,2011,Child care,Secondary Activities,Female,FALSE,31
0,2016,Child care,Secondary Activities,Female,FALSE,30
0,1996,Commuting,Secondary Activities,Female,TRUE,34
0,2001,Commuting,Secondary Activities,Female,TRUE,33
0,2006,Commuting,Secondary Activities,Female,TRUE,35
0,2011,Commuting,Secondary Activities,Female,TRUE,36
0,2016,Commuting,Secondary Activities,Female,TRUE,39
0,1996,Commuting,Secondary Activities,Female,,23
0,2001,Commuting,Secondary Activities,Female,,22
0,2006,Commuting,Secondary Activities,Female,,22
0,2011,Commuting,Secondary Activities,Female,,23
0,2016,Commuting,Secondary Activities,Female,,25
0,1996,Commuting,Secondary Activities,Male,TRUE,49
0,2001,Commuting,Secondary Activities,Male,TRUE,48
0,2006,Commuting,Secondary Activities,Male,TRUE,50
0,2011,Commuting,Secondary Activities,Male,TRUE,50
0,2016,Commuting,Secondary Activities,Male,TRUE,54
0,1996,Commuting,Secondary Activities,Male,,43
0,2001,Commuting,Secondary Activities,Male,,41
0,2006,Commuting,Secondary Activities,Male,,41
0,2011,Commuting,Secondary Activities,Male,,40
0,2016,Commuting,Secondary Activities,Male,,43
0,1996,Housework,Secondary Activities,Male,,10
0,2001,Housework,Secondary Activities,Male,,13
0,2006,Housework,Secondary Activities,Male,,17
0,2011,Housework,Secondary Activities,Male,,18
0,2016,Housework,Secondary Activities,Male,,19
0,1996,Housework,Secondary Activities,Male,TRUE,7
0,2001,Housework,Secondary Activities,Male,TRUE,9
0,2006,Housework,Secondary Activities,Male,TRUE,11
0,2011,Housework,Secondary Activities,Male,TRUE,11
0,2016,Housework,Secondary Activities,Male,TRUE,13
0,1996,Housework,Secondary Activities,Male,FALSE,24
0,2001,Housework,Secondary Activities,Male,FALSE,30
0,2006,Housework,Secondary Activities,Male,FALSE,37
0,2011,Housework,Secondary Activities,Male,FALSE,38
0,2016,Housework,Secondary Activities,Male,FALSE,37
0,1996,Housework,Secondary Activities,Female,,157
0,2001,Housework,Secondary Activities,Female,,154
0,2006,Housework,Secondary Activities,Female,,154
0,2011,Housework,Secondary Activities,Female,,152
0,2016,Housework,Secondary Activities,Female,,144
0,1996,Housework,Secondary Activities,Female,TRUE,138
0,2001,Housework,Secondary Activities,Female,TRUE,133
0,2006,Housework,Secondary Activities,Female,TRUE,131
0,2011,Housework,Secondary Activities,Female,TRUE,130
0,2016,Housework,Secondary Activities,Female,TRUE,126
0,1996,Housework,Secondary Activities,Female,FALSE,200
0,2001,Housework,Secondary Activities,Female,FALSE,195
0,2006,Housework,Secondary Activities,Female,FALSE,195
0,2011,Housework,Secondary Activities,Female,FALSE,191
0,2016,Housework,Secondary Activities,Female,FALSE,180
0,1996,Schoolwork,Secondary Activities,Female,FALSE,45
0,2001,Schoolwork,Secondary Activities,Female,FALSE,39
