Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
19000,2006,Sleep,Primary Activities,Male,,481
20000,2006,Sleep,Primary Activities,Male,,474
21000,2006,Sleep,Primary Activities,Male,,469
22000,2006,Sleep,Primary Activities,Male,,474
23000,2006,Sleep,Primary Activities,Male,,463
24000,2006,Sleep,Primary Activities,Male,,473
25000,2006,Sleep,Primary Activities,Male,,470
26000,2006,Sleep,Primary Activities,Male,,464
27000,2006,Sleep,Primary Activities,Male,,469
28000,2006,Sleep,Primary Activities,Male,,466
29000,2006,Sleep,Primary Activities,Male,,461
30000,2006,Sleep,Primary Activities,Male,,479
31000,2006,Sleep,Primary Activities,Male,,475
32000,2006,Sleep,Primary Activities,Male,,483
33000,2006,Sleep,Primary Activities,Male,,475
34000,2006,Sleep,Primary Activities,Male,,473
35000,2006,Sleep,Primary Activities,Male,,472
36000,2006,Sleep,Primary Activities,Male,,472
37000,2006,Sleep,Primary Activities,Male,,469
38000,2006,Sleep,Primary Activities,Male,,474
39000,2006,Sleep,Primary Activities,Male,,484
40000,2006,Sleep,Primary Activities,Male,,471
41000,2006,Sleep,Primary Activities,Male,,473
42000,2006,Sleep,Primary Activities,Male,,473
43000,2006,Sleep,Primary Activities,Male,,482
44000,2006,Sleep,Primary Activities,Male,,479
45000,2006,Sleep,Primary Activities,Male,,477
46000,2006,Sleep,Primary Activities,Male,,479
47000,2006,Sleep,Primary Activities,Male,,482
0,2011,Sleep,Primary Activities,Male,,469
1000,2011,Sleep,Primary Activities,Male,,472
2000,2011,Sleep,Primary Activities,Male,,488
3000,2011,Sleep,Primary Activities,Male,,479
4000,2011,Sleep,Primary Activities,Male,,474
5000,2011,Sleep,Primary Activities,Male,,492
6000,2011,Sleep,Primary Activities,Male,,485
7000,2011,Sleep,Primary Activities,Male,,481
8000,2011,Sleep,Primary Activities,Male,,473
9000,2011,Sleep,Primary Activities,Male,,472
10000,2011,Sleep,Primary Activities,Male,,468
11000,2011,Sleep,Primary Activities,Male,,460
12000,2011,Sleep,Primary Activities,Male,,459
13000,2011,Sleep,Primary Activities,Male,,460
14000,2011,Sleep,Primary Activities,Male,,457
15000,2011,Sleep,Primary Activities,Male,,482
16000,2011,Sleep,Primary Activities,Male,,474
17000,2011,Sleep,Primary Activities,Male,,472
18000,2011,Sleep,Primary Activities,Male,,476
19000,2011,Sleep,Primary Activities,Male,,473
20000,2011,Sleep,Primary Activities,Male,,478
21000,2011,Sleep,Primary Activities,Male,,471
22000,2011,Sleep,Primary Activities,Male,,473
23000,2011,Sleep,Primary Activities,Male,,466
24000,2011,Sleep,Primary Activities,Male,,473
25000,2011,Sleep,Primary Activities,Male,,467
26000,2011,Sleep,Primary Activities,Male,,471
27000,2011,Sleep,Primary Activities,Male,,468
28000,2011,Sleep,Primary Activities,Male,,463
29000,2011,Sleep,Primary Activities,Male,,461
30000,2011,Sleep,Primary Activities,Male,,482
31000,2011,Sleep,Primary Activities,Male,,480
32000,2011,Sleep,Primary Activities,Male,,480
33000,2011,Sleep,Primary Activities,Male,,472
34000,2011,Sleep,Primary Activities,Male,,467
35000,2011,Sleep,Primary Activities,Male,,479
36000,2011,Sleep,Primary Activities,Male,,475
37000,2011,Sleep,Primary Activities,Male,,471
38000,2011,Sleep,Primary Activities,Male,,475
39000,2011,Sleep,Primary Activities,Male,,491
40000,2011,Sleep,Primary Activities,Male,,477
41000,2011,Sleep,Primary Activities,Male,,478
42000,2011,Sleep,Primary Activities,Male,,470
43000,2011,Sleep,Primary Activities,Male,,479
44000,2011,Sleep,Primary Activities,Male,,473
45000,2011,Sleep,Primary Activities,Male,,477
46000,2011,Sleep,Primary Activities,Male,,477
47000,2011,Sleep,Primary Activities,Male,,469
0,2016,Sleep,Primary Activities,Male,,465
1000,2016,Sleep,Primary Activities,Male,,475
2000,2016,Sleep,Primary Activities,Male,,488
